Running 2 Tests ...
Test (part1.leader_election): Initial election
[1637688728142][raft.h:226][node 0 term 0] start
[1637688728143][raft.h:226][node 1 term 0] start
[1637688728143][raft.h:226][node 2 term 0] start
[1637688729411][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729416][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729422][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729426][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729434][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729437][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688729437][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729446][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729448][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729448][raft.h:337][node 0 term 1] RPC append_entries
[1637688729448][raft.h:337][node 1 term 1] RPC append_entries
[1637688729458][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729458][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729469][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729469][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729479][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729479][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729489][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729490][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729503][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729503][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729513][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729513][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729523][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729523][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729534][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729534][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729544][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729545][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729555][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729555][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729566][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729566][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729576][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729576][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729586][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729586][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729596][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729596][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729598][raft.h:413][node 2 term 1] id: 2, term: 1, role: 2
[1637688729607][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729607][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729609][raft.h:337][node 0 term 1] RPC append_entries
[1637688729609][raft.h:337][node 1 term 1] RPC append_entries
[1637688729618][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729618][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729630][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729630][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729640][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729640][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729651][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729651][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729661][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729661][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729672][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729672][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729683][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729683][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729694][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729694][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729704][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729704][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729715][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729715][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729725][raft.h:413][node 0 term 1] id: 0, term: 1, role: 0
[1637688729725][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
[1637688729736][raft.h:413][node 1 term 1] id: 1, term: 1, role: 0
